restaurant_id,short_name,created,restaurant_rating,location_city,cussine_list
32be3446-61c4-4477-bea4-1910ac5bb315,demo1,2020-12-10 06:59:31.000000 UTC,70,demo1,"Beer, Wine, Lunch, Burgers, American, Only on Skip, Sandwiches & Subs, Breakfast & Brunch, Healthy, Canadian, Coffee/Tea"
89edda71-73a7-4ce9-b6cb-3ce942325667,demo2,2017-12-29 21:48:21.000000 UTC,68,demo2,"Beer, Halal, Chicken, Homemade, Indian, Alcohol, Vegetarian, International"
c2e295d2-c94d-4f54-9e95-7f965b2dc847,demo3,2020-12-10 06:48:23.000000 UTC,69,demo3,"Wine, Lunch, Burgers, American, Only on Skip, Beer, Healthy, Canadian, Coffee/Tea, Sandwiches & Subs, Breakfast & Brunch"
41037103-62f7-467a-a36d-18f99bad3d1f,demo4,2017-09-11 14:49:51.000000 UTC,70,demo4,"Asian, Chicken, Chinese, Seafood, Canadian, Noodle Shop, Only on Skip, Fusion, Offers, International"
ac3fe986-f4c0-4af0-863f-ef03d2464f68,demo5,2019-04-08 21:27:40.000000 UTC,68,demo5,"Asian, Lunch, Chicken, Breakfast & Brunch, Offers, Filipino, Noodle Shop, International"
4d151c8f-534c-4c81-a5a5-bef0e26733b8,demo6,2020-09-11 20:41:35.000000 UTC,66,demo6,"Asian, Sushi, Offers, Seafood, Japanese, Smoothies"
0e0db9a2-402d-436a-89c6-2f65867c52f1,demo7,2020-09-08 23:38:55.000000 UTC,69,demo7,"Asian, Fusion, Homemade, Gluten Free, Gluten Friendly, Breakfast & Brunch, Vegan, Bakery, Korean, Waffles, Smoothies, Coffee/Tea, Vegetarian, Food & Drinks"
befaa8ad-6efa-479b-9c88-04fc8c18442c,demo8,2016-08-04 19:49:38.000000 UTC,70,demo8,"Diner, American, Canadian, Fish and Chips, Sandwiches & Subs, Pizza, Offers, Burgers, Chicken, Pub Food, Only on Skip, Breakfast & Brunch"
da71b1fc-b164-487e-817b-0c86656ab1a8,demo9,2018-01-05 14:09:02.000000 UTC,69,demo9,"Halal, Pizza, Chicken, Homemade, Fast Food, Vegetarian, Only on Skip"
699df6bb-0de5-4655-abe0-9d2520ad59a5,demo10,2022-08-16 17:13:37.000000 UTC,71,demo10,"Lunch, Pepsi, Chicken, American, Food & Drinks, Burgers, Barbecue, Desserts, Pub Food, Sandwiches & Subs, Hot Dogs & Sausages"
